id;name
1;com.smartclinic.patient.tab
2;com.smartclinic.patient.view
3;com.smartclinic.patient.edit
4;com.smartclinic.patient.addfile
5;com.smartclinic.patient.reserve
6;com.smartclinic.patient.new
7;com.smartclinic.doctor.currentVisit
8;com.smartclinic.doctor.lengthChart
9;com.smartclinic.doctor.weightChart
10;com.smartclinic.doctor.filestable
11;com.smartclinic.doctor.filestable.view
12;com.smartclinic.doctor.addLength
13;com.smartclinic.doctor.tab
14;com.smartclinic.visit.search
15;com.smartclinic.visit.refreshtable
16;com.smartclinic.visit.edit
17;com.smartclinic.visit.delete
18;com.smartclinic.visit.tab
19;com.smartclinic.patient.search
20;com.smartclinic.patient.new.phone
21;com.smartclinic.patient.new.age
22;com.smartclinic.patient.new.gender
23;com.smartclinic.patient.new.address
24;com.smartclinic.patient.new.disease
25;com.smartclinic.patient.new.operations
26;com.smartclinic.patient.new.bloodType
27;com.smartclinic.visit.new.status
28;com.smartclinic.visit.new.type
29;com.smartclinic.visit.new.date
30;com.smartclinic.visit.new.price
31;com.smartclinic.visit.new.clinic
32;com.smartclinic.visit.new.description
33;com.smartclinic.visit.new.medicine
34;com.smartclinic.visit.new.chooseMedicine
35;com.smartclinic.visit.new.notes
36;com.smartclinic.visit.new.save
37;com.smartclinic.visit.new.cancel
38;com.smartclinic.visit.new.saveAndMove
39;com.smartclinic.reports.tab
40;com.smartclinic.lang.tab
41;com.smartclinic.medicine.tab
42;com.smartclinic.settings.tab
43;com.smartclinic.waitinglist
45;com.smartclinic.doctor.lastVisit
46;com.smartclinic.visit.new.code
47;com.smartclinic.visit.new.doctor

